"nationality","name","position","team","league","nh_le_score","gp","g","a","pts","pim","gpg","apg","ppg","adj_ppg","pimpg","dob","height","weight","shoots","adj_ppg_quartile"
"Canada","Joe Iginla","F","Edmonton Oil Kings","WHL",0.3,32,"11","10","21","14",0.34375,0.3125,0.65625,0.196875,0.4375,"8/12/2008","5'10""",174,"R","Q1 (Lower)"
"Slovakia","Tomas Chrenko","F","HK Nitra","Slovakia",0.47,27,"5","12","17","4",0.185185185,0.444444444,0.62962963,0.295925926,0.148148148,"11/1/2007","5'11""",170,"R","Q3"
"Latvia","Rudolfs Berzkalns","F","Muskegon Lumberjacks","USHL",0.29,27,"7","9","16","35",0.259259259,0.333333333,0.592592593,0.171851852,1.296296296,"3/2/2008","6'4""",203,"L","Q1 (Lower)"
"Sweden","Torkel Jennersjo","F","Blainville-Boisbriand Armada","QMJHL",0.28,19,"6","5","11","10",0.315789474,0.263157895,0.578947368,0.162105263,0.526315789,"10/1/2007","5'10""",183,"L","Q1 (Lower)"
"Sweden","Elton Hermansson","F","MoDo Hockey","HockeyAllsvenskan",0.45,18,"7","3","10","14",0.388888889,0.166666667,0.555555556,0.25,0.777777778,"2/4/2008","6'1""",181,"R","Q2"
"USA","Landon Amrhein","F","Calgary Hitmen","WHL",0.3,31,"5","12","17","4",0.161290323,0.387096774,0.548387097,0.164516129,0.129032258,"4/5/2008","6'4""",192,"R","Q1 (Lower)"
"Canada","Colin Fitzgerald","F","Peterborough Petes","OHL",0.3,24,"6","7","13","33",0.25,0.291666667,0.541666667,0.1625,1.375,"3/31/2008","6'2""",207,"R","Q1 (Lower)"
"Latvia","Karlis Flugins","F","KooKoo U20","U20 SM-sarja",0.27,13,"5","2","7","2",0.384615385,0.153846154,0.538461538,0.145384615,0.153846154,"11/10/2007","5'11""",185,"R","Q1 (Lower)"
"Czechia","Simon Katolicky","F","Tappara U20","U20 SM-sarja",0.27,18,"3","6","9","0",0.166666667,0.333333333,0.5,0.135,0,"7/23/2008","6'4""",198,"L","Q1 (Lower)"
"USA","Dayne Beuker","F","U.S. National U18 Team","NTDP",0.35,27,"5","7","12","14",0.185185185,0.259259259,0.444444444,0.155555556,0.518518519,"3/22/2008","5'10""",168,"R","Q1 (Lower)"
"Sweden","Viggo Bjorck","F","Djurgardens IF","SHL",0.78,24,"4","4","8","6",0.166666667,0.166666667,0.333333333,0.26,0.25,"3/11/2008","5'10""",172,"R","Q3"
"Canada","Caelan Joudrey","F","Wenatchee Wild","WHL",0.3,32,"7","3","10","29",0.21875,0.09375,0.3125,0.09375,0.90625,"1/16/2008","6'4""",172,"R","Q1 (Lower)"
"Finland","Oliver Suvanto","F","Tappara","Liiga",0.54,30,"2","5","7","10",0.066666667,0.166666667,0.233333333,0.126,0.333333333,"9/2/2008","6'3""",209,"L","Q1 (Lower)"
"Latvia","Martins Klaucans","F","Sherbrooke Phoenix","QMJHL",0.28,26,"2","4","6","8",0.076923077,0.153846154,0.230769231,0.064615385,0.307692308,"7/7/2008","6'0""",190,"L","Q1 (Lower)"
"Lithuwania","Simas Ignatavicius","F","Geneve-Servette HC","NL",0.65,35,"4","4","8","16",0.114285714,0.114285714,0.228571429,0.148571429,0.457142857,"10/21/2007","6'3""",198,"R","Q1 (Lower)"
"Russia","Arseni Ilyin","F","MHK Spartak Moskva","MHL",0.27,34,"3","4","7","6",0.088235294,0.117647059,0.205882353,0.055588235,0.176470588,"12/23/2007","6'2""",170,"L","Q1 (Lower)"
"Canada","Ivan Galiyanov","F","Niagara IceDogs","OHL",0.3,31,"1","5","6","29",0.032258065,0.161290323,0.193548387,0.058064516,0.935483871,"10/15/2007","5'10""",174,"L","Q1 (Lower)"
"Switzerland","Raphael Achermann","F","Rimouski Oceanic","QMJHL",0.28,13,"0","2","2","4",0,0.153846154,0.153846154,0.043076923,0.307692308,"5/29/2008","5'11""",172,"L","Q1 (Lower)"
