"nationality","name","position","team","league","nh_le_score","gp","g","a","pts","pim","gpg","apg","ppg","adj_ppg","pimpg","dob","height","weight","shoots","adj_ppg_quartile","z_adj_ppg","rz_adj_ppg","is_outlier"
"Canada","Cooper Williams","F","Saskatoon Blades","WHL",0.3,32,"12","17","29","18",0.375,0.53125,0.90625,0.271875,0.5625,"2/17/2008","6'1""",159,"L","Q3",0.0721901725536175,3.70481339662119,TRUE
"Canada","Louis-Francois Belanger","F","Newfoundland Regiment","QMJHL",0.28,30,"14","15","29","18",0.466666667,0.5,0.966666667,0.270666667,0.6,"11/13/2007","5'8""",168,"L","Q3",0.0617511613089754,3.70481339662119,TRUE
"Canada","Chase Harrington","F","Spokane Chiefs","WHL",0.3,32,"11","17","28","52",0.34375,0.53125,0.875,0.2625,1.625,"10/29/2007","6'0""",201,"L","Q3",-0.00880217841132653,3.70481339662119,TRUE
"Canada","Beckett Hamilton","F","Red Deer Rebels","WHL",0.3,30,"10","16","26","4",0.333333333,0.533333333,0.866666667,0.26,0.133333333,"3/27/2008","5'11""",172,"R","Q3",-0.030400138668645,3.70481339662119,TRUE
"Sweden","Viggo Bjorck","F","Djurgardens IF","SHL",0.78,24,"4","4","8","6",0.166666667,0.166666667,0.333333333,0.26,0.25,"3/11/2008","5'10""",172,"R","Q3",-0.030400138668645,3.70481339662119,TRUE
"Canada","Ryder Cali","F","North Bay Battalion","OHL",0.3,13,"7","4","11","2",0.538461538,0.307692308,0.846153846,0.253846154,0.153846154,"9/5/2008","6'2""",209,"L","Q2",-0.0835643472037085,3.70481339662119,TRUE
"Canada","Braidy Wassilyn","F","Niagara IceDogs","OHL",0.3,6,"2","3","5","4",0.333333333,0.5,0.833333333,0.25,0.666666667,"5/27/2008","5'11""",194,"L","Q2",-0.116791979697919,3.70481339662119,TRUE
"Sweden","Elton Hermansson","F","MoDo Hockey","HockeyAllsvenskan",0.45,18,"7","3","10","14",0.388888889,0.166666667,0.555555556,0.25,0.777777778,"2/4/2008","6'1""",181,"R","Q2",-0.116791979697919,3.70481339662119,TRUE
"USA","Jack Hextall","F","Youngstown Phantoms","USHL",0.29,28,"8","16","24","14",0.285714286,0.571428571,0.857142857,0.248571429,0.5,"3/22/2008","6'0""",185,"R","Q2",-0.129133667571022,3.70481339662119,TRUE
"USA","Mikey Berchild","F","U.S. National U18 Team","NTDP",0.35,24,"6","10","16","8",0.25,0.416666667,0.666666667,0.233333333,0.333333333,"2/15/2008","5'10""",181,"L","Q2",-0.260778384293104,3.70481339662119,TRUE
"Canada","Jaxon Cover","F","London Knights","OHL",0.3,34,"9","17","26","32",0.264705882,0.5,0.764705882,0.229411765,0.941176471,"2/12/2008","6'1""",185,"L","Q2",-0.294657532217253,3.70481339662119,TRUE
"Canada","Alessandro Di Iorio","F","Sarnia Sting","OHL",0.3,17,"7","6","13","0",0.411764706,0.352941176,0.764705882,0.229411765,0,"3/16/2008","6'1""",190,"R","Q2",-0.294657532217253,3.70481339662119,TRUE
"Canada","Maddox Dagenais","F","Quebec Remparts","QMJHL",0.28,30,"12","12","24","13",0.4,0.4,0.8,0.224,0.433333333,"3/26/2008","6'4""",196,"L","Q2",-0.341410766374031,3.70481339662119,TRUE
"Sweden","Oscar Holmertz","F","Linkoping HC U20","U20 Nationell",0.26,20,"5","12","17","2",0.25,0.6,0.85,0.221,0.1,"3/20/2008","6'0""",192,"L","Q2",-0.367328318682814,3.70481339662119,TRUE
"Russia","Viktor Fyodorov","F","Chaika Nizhny Novgorod","MHL",0.27,11,"2","7","9","8",0.181818182,0.636363636,0.818181818,0.220909091,0.727272727,"2/20/2008","5'10""",176,"L","Q2",-0.368113698270427,3.70481339662119,TRUE
"Canada","Beckham Edwards","F","Sarnia Sting","OHL",0.3,34,"12","13","25","10",0.352941176,0.382352941,0.735294118,0.220588235,0.294117647,"1/5/2008","6'1""",181,"L","Q2",-0.370885632324955,3.70481339662119,TRUE
"Canada","Ryder Carey","F","North Bay Battalion","OHL",0.3,25,"8","10","18","20",0.32,0.4,0.72,0.216,0.8,"8/1/2008","6'0""",176,"R","Q2",-0.410524239197451,3.70481339662119,TRUE
"Finland","Viljo Kahkonen","F","HIFK U20","U20 SM-sarja",0.27,24,"6","13","19","8",0.25,0.541666667,0.791666667,0.21375,0.333333333,"2/18/2008","5'10""",181,"R","Q2",-0.429962403429037,3.70481339662119,TRUE
"Sweden","Mans Josbrant","F","Lulea HF U20","U20 Nationell",0.26,21,"9","8","17","20",0.428571429,0.380952381,0.80952381,0.21047619,0.952380952,"4/22/2008","5'11""",170,"L","Q2",-0.458245450737042,3.70481339662119,TRUE
"Canada","Liam Dube","F","HC Davos U21","Swiss U21-Elit",0.25,32,"7","19","26","8",0.21875,0.59375,0.8125,0.203125,0.25,"1/3/2008","5'10""",159,"R","Q2",-0.521753734522641,3.70481339662119,TRUE
"Canada","Ryan Brown","F","Sarnia Sting","OHL",0.3,34,"6","17","23","27",0.176470588,0.5,0.676470588,0.202941176,0.794117647,"10/25/2007","5'11""",176,"L","Q2",-0.523341823901177,3.70481339662119,TRUE
"Canada","Joe Iginla","F","Edmonton Oil Kings","WHL",0.3,32,"11","10","21","14",0.34375,0.3125,0.65625,0.196875,0.4375,"8/12/2008","5'10""",174,"R","Q1 (Lower)",-0.575748635165937,3.70481339662119,TRUE
"Sweden","Max Isaksson","F","Vaxjo Lakers HC U20","U20 Nationell",0.26,18,"7","6","13","12",0.388888889,0.333333333,0.722222222,0.187777778,0.666666667,"1/27/2008","6'0""",183,"L","Q1 (Lower)",-0.654341210849138,3.70481339662119,TRUE
"Belarus","Roman Laman","F","Omskie Yastreby","MHL",0.27,35,"11","13","24","4",0.314285714,0.371428571,0.685714286,0.185142857,0.114285714,"1/29/2008","5'11""",176,"L","Q1 (Lower)",-0.677104778464808,3.70481339662119,TRUE
"Latvia","Rudolfs Berzkalns","F","Muskegon Lumberjacks","USHL",0.29,27,"7","9","16","35",0.259259259,0.333333333,0.592592593,0.171851852,1.296296296,"3/2/2008","6'4""",203,"L","Q1 (Lower)",-0.791928217572736,3.70481339662119,TRUE
"USA","Landon Amrhein","F","Calgary Hitmen","WHL",0.3,31,"5","12","17","4",0.161290323,0.387096774,0.548387097,0.164516129,0.129032258,"4/5/2008","6'4""",192,"R","Q1 (Lower)",-0.855302879097815,3.70481339662119,TRUE
"Canada","Colin Fitzgerald","F","Peterborough Petes","OHL",0.3,24,"6","7","13","33",0.25,0.291666667,0.541666667,0.1625,1.375,"3/31/2008","6'2""",207,"R","Q1 (Lower)",-0.872720588704066,3.70481339662119,TRUE
"Sweden","Torkel Jennersjo","F","Blainville-Boisbriand Armada","QMJHL",0.28,19,"6","5","11","10",0.315789474,0.263157895,0.578947368,0.162105263,0.526315789,"10/1/2007","5'10""",183,"L","Q1 (Lower)",-0.876130794319303,3.70481339662119,TRUE
"USA","Dayne Beuker","F","U.S. National U18 Team","NTDP",0.35,27,"5","7","12","14",0.185185185,0.259259259,0.444444444,0.155555556,0.518518519,"3/22/2008","5'10""",168,"R","Q1 (Lower)",-0.932714918912536,3.70481339662119,TRUE
"Lithuwania","Simas Ignatavicius","F","Geneve-Servette HC","NL",0.65,35,"4","4","8","16",0.114285714,0.114285714,0.228571429,0.148571429,0.457142857,"10/21/2007","6'3""",198,"R","Q1 (Lower)",-0.993052077863762,3.70481339662119,TRUE
"Latvia","Karlis Flugins","F","KooKoo U20","U20 SM-sarja",0.27,13,"5","2","7","2",0.384615385,0.153846154,0.538461538,0.145384615,0.153846154,"11/10/2007","5'11""",185,"R","Q1 (Lower)",-1.02058355071155,3.70481339662119,TRUE
"Czechia","Simon Katolicky","F","Tappara U20","U20 SM-sarja",0.27,18,"3","6","9","0",0.166666667,0.333333333,0.5,0.135,0,"7/23/2008","6'4""",198,"L","Q1 (Lower)",-1.11029815153457,3.70481339662119,TRUE
"Finland","Oliver Suvanto","F","Tappara","Liiga",0.54,30,"2","5","7","10",0.066666667,0.166666667,0.233333333,0.126,0.333333333,"9/2/2008","6'3""",209,"L","Q1 (Lower)",-1.18805080846092,3.70481339662119,TRUE
"Canada","Caelan Joudrey","F","Wenatchee Wild","WHL",0.3,32,"7","3","10","29",0.21875,0.09375,0.3125,0.09375,0.90625,"1/16/2008","6'4""",172,"R","Q1 (Lower)",-1.46666449578032,3.70481339662119,TRUE
"Latvia","Martins Klaucans","F","Sherbrooke Phoenix","QMJHL",0.28,26,"2","4","6","8",0.076923077,0.153846154,0.230769231,0.064615385,0.307692308,"7/7/2008","6'0""",190,"L","Q1 (Lower)",-1.71836379853323,3.70481339662119,TRUE
"Canada","Ivan Galiyanov","F","Niagara IceDogs","OHL",0.3,31,"1","5","6","29",0.032258065,0.161290323,0.193548387,0.058064516,0.935483871,"10/15/2007","5'10""",174,"L","Q1 (Lower)",-1.77495796185839,3.70481339662119,TRUE
"Russia","Arseni Ilyin","F","MHK Spartak Moskva","MHL",0.27,34,"3","4","7","6",0.088235294,0.117647059,0.205882353,0.055588235,0.176470588,"12/23/2007","6'2""",170,"L","Q1 (Lower)",-1.79635100930798,3.70481339662119,TRUE
"Switzerland","Raphael Achermann","F","Rimouski Oceanic","QMJHL",0.28,13,"0","2","2","4",0,0.153846154,0.153846154,0.043076923,0.307692308,"5/29/2008","5'11""",172,"L","Q1 (Lower)",-1.90443853704514,3.70481339662119,TRUE
